name,age,country,gender,boat,club,,,http://ckc.immediac.com/athletes
Drew Hodges,1993,CND,M,,,,,
Ed Urquhart,1989,CND,M,Para,Balmy Beach,,,
Edgar Désy,2002,CND,M,,,,,
Édouard Beaumier,2000,CND,M,,,,,
Elisa Robson-Brown,2001,CND,F,,,,,
Ella Hodgson-Pageau,2002,CND,F,,,,,
Ellie Lanouette,2000,CND,F,,,,,
Elliot Smith,2001,CND,M,K,Balmy Beach,,,
Emil Proulx,2001,CND,M,,,,,
Emily Burke,2000,CND,F,,,,,
Emily Parsons,2003,CND,F,K,Banook,,,
Emma Zoldy,2001,CND,F,,,,,
Emmanuelle Guilbert,1997,CND,F,,,,,
Ensby Brule,2001,CND,,,,,,
Eric Ellery,1992,CND,M,K,Balmy Beach,,,
Eric Malogrosz,1999,CND,M,,,,,
Erica Scarff,1996,CND,F,Para,Balmy Beach,,,
Erin Demopolis,2001,CND,,,,,,
Eva Goblot,2001,CND,F,,,,,
Evan Bezemer,1995,CND,M,,,,,
Evie McDonald,2003,CND,,,,,,
Florence Turcotte,2001,CND,F,,,,,
Foster Salpeter,1998,CND,,,,,,
Frédéric Hallé,2001,CND,M,,,,,
Frédérique Lemire,2001,CND,M,,,,,
Gabor Sarkozi,1998,CND,,,,,,
Gabrielle Bowman,2001,CND,F,,,,,
Gabrielle Leverette,2002,CND,F,,,,,
Gavin Jaeger-Freeborn,1997,CND,M,,,,,
Geneva Bond,2003,CND,F,,,,,
Genevieve L'abbe,1997,CND,F,,,,,
Grace Tsaousidis,2001,CND,F,,,,,
Grace Whebby,1999,CND,F,,,,,
Guillaume Fournelle,1998,CND,,,,,,
Hannah English,2000,CND,F,,,,,
Hannah MacIntosh,1995,CND,F,,,,,
Hayden Kralik,2002,CND,,,,,,
Hayley Conrad,2002,CND,,,,,,
Hayley Plante,1996,CND,F,K,Balmy Beach,,,
Hunter Morrissey,1995,CND,M,,,,,
Iain Carew,1996,CND,M,,,,,
Ian Gaudet,2003,CND,M,K,Banook,,,
Isaac Finkelstein,1999,CND,M,,,,,
Ivan Strashenko,2001,CND,M,,,,,
Jack Hall,2001,CND,M,K,Banook,,,
Jack Richman,2001,CND,M,K,Balmy Beach,,,
Jack Tutty,1999,CND,M,,,,,
Jacob Chaine,1995,CND,M,,,,,
Jacob Merrill-Arpin,2002,CND,M,,,,,
Jacob Price,2002,CND,M,,,,,
Jacob Quillan,2002,CND,M,,,,,
Jacob Steele,1997,CND,M,,,,,
Jacy Grant,2003,CND,,,,,,
James Erith-Ellwood,2002,CND,M,,,,,
James Lavallee,1997,CND,M,,,,,
James Mann,1999,CND,M,,,,,
Jane Girgulis,1999,CND,F,,,,,
Jarret Kenke,1994,CND,M,,,,,
Jasmine Kerr,2001,CND,F,,,,,
Jayden Hingley,2001,CND,,,,,,
Jayden Terauds,2002,CND,,,,,,
Jenna Neate,2000,CND,,,,,,
Jeremy DeSousa,2001,CND,M,,,,,
Jeremy Gagnon,2002,CND,M,,,,,
Jérémy Marchand,1999,CND,M,,,,,
Jérome Lemay,2000,CND,M,,,,,
Jérôme McArthur,2001,CND,M,,,,,
Jessica MacKay,2001,CND,F,,,,,
Jessica Reddin,2002,CND,F,,,,,
Joey Mollins,2001,CND,M,,,,,
Julia Demchuk,2003,CND,F,,,,,
Julia Haring,2002,CND,F,,,,,
Julia Osende,2001,CND,F,,,,,
Julia Pottie,2001,CND,F,,,,,
Julien Lemay,1999,CND,,,,,,
Juliette Brault,1997,CND,,,,,,
Justin Lavigne,2001,CND,M,,,,,
Kadan Johnson,2000,CND,,,,,,
Kailen Levy,2003,CND,,,,,,
Kate Pennyfather,2002,CND,,,,,,
Katie Hoferek,1999,CND,F,,,,,
Katie VanBerkel,2001,CND,F,,,,,
Katie Vincent,1996,CND,F,,,,,
Katy Stewart,2002,CND,F,,,,,
Kavita Thomas,2003,CND,,,,,,
Keisha Tomasik,1996,CND,,,,,,
Kieran Moorfield-Yee,1999,CND,,,,,,
Kirpa Dhillon,2000,CND,,,,,,
Kyle Perrier,2001,CND,M,,,,,
Kyle Smith,1983,CND,M,,,,,
Laura Mackinnon,2000,CND,F,,,,,
Laurence Vincent-Lapointe,1992,CND,F,,,,,
Laurent Lavigne,2001,CND,F,,,,,
Léanne Gilbert,2000,CND,,,,,,
Léa-Sophie Héroux,2002,CND,,,,,,
Lexy Vincent,1997,CND,,,,,,
Liam Ring,2002,CND,M,K,Banook,,,
Lila MacLeod,2001,CND,F,,,,,
Lily Armstrong,2002,CND,F,,,,,
Lily Baert,2002,CND,F,,,,,
Lindsay Irwin,2000,CND,F,,,,,
Lindsay Murray,2003,CND,F,,,,,
Lissa Bissonnette,1990,CND,F,,,,,
Lochlen Farquharson,1997,CND,,,,,,
Logan Gauthier,2002,CND,M,,,,,
Logan Thom,2002,CND,M,,,,,
Louis Blanchette,2002,CND,M,,,,,
Louis Couture,2002,CND,M,,,,,
Louis Vranderick,2000,CND,M,,,,,
Lucas Stringer,2003,CND,M,,,,,
Lucas Turnbull,1999,CND,M,,,,,
Lucy Pennyfather,1999,CND,F,,,,,
Lucy Traves,2001,CND,F,K,Banook,,,
Luke Bennett,2001,CND,M,K,Banook,,,
Luke Stienburg,1999,CND,M,,,,,
Lysanne Toupin,2001,CND,,,,,,
MacKenzie Sparks,2001,CND,,,,,,
Maddison MacKenzie,1995,CND,F,,,,,
Madeline Schmidt,1995,CND,F,,,,,
Madeline Smith,2003,CND,F,,,,,
Maeve LeBlanc,2000,CND,F,,,,,
Maïka Nadeau,2002,CND,F,,,,,
Marc Cinq-Mars,2002,CND,M,,,,,
Marc Tarling,1991,CND,M,,,,,
Marc-Alexandre Gagnon,1991,CND,M,,,,,
Maren Bradley,2001,CND,,,,,,
Marie-Félix Courchesne,2002,CND,F,,,,,
Mark De Jonge,1984,CND,M,,,,,
Mark James,1991,CND,M,,,,,
Mark Marschalko,1997,CND,M,,,,,
Mark Oldershaw,1983,CND,M,,,,,
Marlee MacIntosh,2000,CND,,,,,,
Marshall Hughes,1995,CND,M,,,,,
Marvin Bader,2001,CND,M,,,,,
Mary Brown,2002,CND,F,,,,,
Mason Koch,2000,CND,M,,,,,
Matao Buist,2001,CND,,,,,,
Mathieu Gilbert,2002,CND,,,,,,
Mathieu St-Pierre,1988,CND,,,,,,
Matthew Audas,2002,CND,M,,,,,
Matthew Koch,2003,CND,M,,,,,
Matthew Koehler,1998,CND,M,,,,,
Matthew Mullett,2002,CND,M,,,,,
Matthew O'Neill,2002,CND,M,,,,,
Matthew Peachey,1998,CND,M,,,,,
Matthew Sampson,2000,CND,M,,,,,
Max Perry,2000,CND,M,,,,,
Maxence Beauchesne,1996,CND,,,,,,
Maxyme Leblanc,2001,CND,,,,,,
Médérick Desrochers,2001,CND,,,,,,
