2014 USA Canoe Kayak Sprint National Championships,8/2/14 8:00,,,,,,,,,,
"Race #126, Event #201: Senior Men 200m K1 Heat 1",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,"Queitzsch, Chris",SCKC,00:53.0,6,1,,,,,,
,"Tan, Chin Chuen",WCC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
9,"Turner, Joshua",OKC,,,0,,,,,,
,"Sexton, Brayden",OKC,,,,,,,,,
,"DeNeergaard, Sev",LCKC,,,,,,,,,
,"Wade, Tommy",LCKC,,,,,,,,,
,"Kimsey, Dillon",LCKC,,,,,,,,,
,"Hicks, Daniel",LCKC,,,,,,,,,
,"Yee, Nat",Ikaika,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
2014 USA Canoe Kayak Sprint National Championships,8/2/14 8:12,,,,,,,,,,
"Race #129, Event #203: Juvenile Men 200m K1 Heat 1",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,"Cross-Whiter, Miles",SCKC,00:40.5,1,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,"Baker, Clay",LCKC,00:41.5,2,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7,"Hilt, Henry",SCKC,00:43.6,3,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,"Capper, Jack",Gig Harbor,00:44.9,4,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,"Barnato, Jonathan",Gig Harbor,00:45.7,5,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8,"Harmon, Sage",SDCKT,00:46.8,6,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,"Kawanankoa, Riley",Ikaika,00:52.2,7,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,"Ceska, Oliver",LCKC,00:59.7,8,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
