"name","age","club","boat","gender","country","type"
"Rok Smit",NA,NA,"K","M","SLO",NA
"Ronan Foley",NA,NA,"K","M","IRL",NA
"Ruta Dagyte",NA,NA,"C","F","LTU",NA
"Ryan O'connor",NA,NA,"K","M","IRL",NA
"Sandra Ostrowska",NA,NA,"K","F","POL",NA
"Sarah Guyot",NA,NA,"K","F","FRA",NA
"Sarah Troel",NA,NA,"K","F","FRA",NA
"Sebastian Brendel",NA,NA,"C","M","GER",NA
"Seiji Komatsu",NA,NA,"K","M","JPN",NA
"Sergei Tokarnitskyi",NA,NA,"K","M","KAZ",NA
"Serguey Torres Madrigal",NA,NA,"C","M","CUB",NA
"Serhiy Bashtovyy",NA,NA,"K","M","UKR",NA
"Shixiao Xu",NA,NA,"C","F","CHN",NA
"Simon Mctavish",NA,NA,"K","M","CAN",NA
"Sofiya Molina",NA,NA,"K","F","KAZ",NA
"Song Xing",NA,NA,"C","M","CHN",NA
"Stav Mizrahi",NA,NA,"K","M","ISR",NA
"Stefanie Perdomo",NA,NA,"K","F","ECU",NA
"Stefanos Dimopoulos",NA,NA,"C","M","GRE",NA
"Steffi Kriegerstein",NA,NA,"K","F","GER",NA
"Strahinja Stefanovic",NA,NA,"K","M","SRB",NA
"Sze Soh",NA,NA,"K","F","SGP",NA
"Tabea Medert",NA,NA,"K","F","GER",NA
"Taishi Tanada",NA,NA,"K","M","JPN",NA
"Tamas Gecso",NA,NA,"K","M","GER",NA
"Teresa Portela",NA,NA,"K","F","POR",NA
"Tetyana Yednak",NA,NA,"K","F","UKR",NA
"Theodor Orban",NA,NA,"K","M","SWE",NA
"Thomas Green",NA,NA,"K","M","AUS",NA
"Thomas Lusty",NA,NA,"K","M","GBR",NA
"Thomas Simart",NA,NA,"C","M","FRA",NA
"Timo Haseleu",NA,NA,"K","M","GER",NA
"Timur Khaidarov",NA,NA,"C","M","KAZ",NA
"Tom Liebscher",NA,NA,"K","M","GER",NA
"Tomasz Barniak",NA,NA,"C","M","POL",NA
