"name","age","club","boat","gender","country","type"
"Sarah Guyot",NA,NA,"K","F","FRA",NA
"Sarah Troel",NA,NA,"K","F","FRA",NA
"Sayako Shimazu",NA,NA,"C","F","JPN",NA
"Sebastian Brendel",NA,NA,"C","M","GER",NA
"Sebastián Delgado",NA,NA,"K","M","URU",NA
"Serhiy Bashtovyy",NA,NA,"K","M","UKR",NA
"Shixiao Xu",NA,NA,"C","F","CHN",NA
"Sofie Kinclova",NA,NA,"K","F","CZE",NA
"Staniliya Stamenova",NA,NA,"C","F","BUL",NA
"Stanislavs Lescinskis",NA,NA,"C","M","LAT",NA
"Stav Mizrahi",NA,NA,"K","M","ISR",NA
"Stefan Kiraj",NA,NA,"C","M","GER",NA
"Stefan Strat",NA,NA,"C","M","ROU",NA
"Stephen Bird",NA,NA,"K","M","AUS",NA
"Takayuki Kokaji",NA,NA,"C","M","JPN",NA
"Tamara Takács",NA,NA,"K","F","HUN",NA
"Tamás Kiss",NA,NA,"C","M","HUN",NA
"Teresa Portela",NA,NA,"K","F","ESP",NA
"Thomas Green",NA,NA,"K","M","AUS",NA
"Thomas Lusty",NA,NA,"K","M","GBR",NA
"Thomas Simart",NA,NA,"C","M","FRA",NA
"Tom Brennan",NA,NA,"K","M","IRL",NA
"Tom Liebscher",NA,NA,"K","M","GER",NA
"Tomasz Kaczor",NA,NA,"C","M","POL",NA
"Vadim Korobov",NA,NA,"C","M","LTU",NA
"Vagner Souta",NA,NA,"K","M","BRA",NA
"Valdenice Nascimento",NA,NA,"C","F","BRA",NA
"Vanesa Tot",NA,NA,"C","F","CRO",NA
"Viktoria Schwarz",NA,NA,"K","F","AUT",NA
"Virág Balla",NA,NA,"C","F","HUN",NA
"Volha Khudzenka",NA,NA,"K","F","BLR",NA
"Volha Klimava",NA,NA,"C","F","BLR",NA
"Wiktor Glazunow",NA,NA,"C","M","POL",NA
"Ysumy Orellana",NA,NA,"K","F","CHI",NA
"Zaza Nadiradze",NA,NA,"C","M","GEO",NA
"Zsanett Lakatos",NA,NA,"C","F","HUN",NA
"Zyggy Chmiel",NA,NA,"K","M","GBR",NA
